symbol,date,close
AAPL,"April 3, 2008",21.65857124
AAPL,"April 4, 2008",21.86857224
AAPL,"April 7, 2008",22.27000046
AAPL,"April 8, 2008",21.83428574
AAPL,"April 9, 2008",21.63428497
AAPL,"April 10, 2008",22.07857132
AAPL,"April 11, 2008",21.02000046
AAPL,"April 14, 2008",21.11142921
AAPL,"April 15, 2008",21.19714355
AAPL,"April 16, 2008",21.95714378
AAPL,"April 17, 2008",22.06999969
AAPL,"April 18, 2008",23.00571442
AAPL,"April 21, 2008",24.02285767
AAPL,"April 22, 2008",22.88571358
AAPL,"April 23, 2008",23.27000046
AAPL,"April 24, 2008",24.13428497
AAPL,"April 25, 2008",24.24714279
AAPL,"April 28, 2008",24.6057148
AAPL,"April 29, 2008",25.00714302
AAPL,"April 30, 2008",24.85000038
AAPL,"May 1, 2008",25.7142849
AAPL,"May 2, 2008",25.84857178
AAPL,"May 5, 2008",26.38999939
AAPL,"May 6, 2008",26.66571426
AAPL,"May 7, 2008",26.08428574
AAPL,"May 8, 2008",26.43714333
AAPL,"May 9, 2008",26.20714378
AAPL,"May 12, 2008",26.87999916
AAPL,"May 13, 2008",27.13714218
AAPL,"May 14, 2008",26.60857201
AAPL,"May 15, 2008",27.10428619
AAPL,"May 16, 2008",26.80285645
AAPL,"May 19, 2008",26.22857094
AAPL,"May 20, 2008",26.55714226
AAPL,"May 21, 2008",25.45571518
AAPL,"May 22, 2008",25.29285622
AAPL,"May 23, 2008",25.88142776
AAPL,"May 27, 2008",26.63285637
AAPL,"May 28, 2008",26.7157135
AAPL,"May 29, 2008",26.67000008
AAPL,"May 30, 2008",26.9642849
AAPL,"June 2, 2008",26.58571434
AAPL,"June 3, 2008",26.48142815
AAPL,"June 4, 2008",26.45571518
AAPL,"June 5, 2008",27.06142807
AAPL,"June 6, 2008",26.52000046
AAPL,"June 9, 2008",25.94428635
AAPL,"June 10, 2008",26.52000046
AAPL,"June 11, 2008",25.82999992
AAPL,"June 12, 2008",24.7514286
AAPL,"June 13, 2008",24.62428665
AAPL,"June 16, 2008",25.26285744
AAPL,"June 17, 2008",25.91857147
AAPL,"June 18, 2008",25.5357151
AAPL,"June 19, 2008",25.84285736
AAPL,"June 20, 2008",25.03857231
AAPL,"June 23, 2008",24.73714256
AAPL,"June 24, 2008",24.75
AAPL,"June 25, 2008",25.34142876
AAPL,"June 26, 2008",24.03714371
AAPL,"June 27, 2008",24.29857063
AAPL,"June 30, 2008",23.92000008
AAPL,"July 1, 2008",24.95428658
AAPL,"July 2, 2008",24.02571487
AAPL,"July 3, 2008",24.30285645
AAPL,"July 7, 2008",25.02285767
AAPL,"July 8, 2008",25.64999962
AAPL,"July 9, 2008",24.8928566
AAPL,"July 10, 2008",25.23285675
AAPL,"July 11, 2008",24.65428543
AAPL,"July 14, 2008",24.84000015
AAPL,"July 15, 2008",24.23428535
AAPL,"July 16, 2008",24.68714333
AAPL,"July 17, 2008",24.54428482
AAPL,"July 18, 2008",23.59285736
AAPL,"July 21, 2008",23.75571442
AAPL,"July 22, 2008",23.14571381
AAPL,"July 23, 2008",23.7514286
AAPL,"July 24, 2008",22.71857071
AAPL,"July 25, 2008",23.15999985
AAPL,"July 28, 2008",22.05714226
AAPL,"July 29, 2008",22.44000053
AAPL,"July 30, 2008",22.84000015
AAPL,"July 31, 2008",22.70714378
AAPL,"August 1, 2008",22.37999916
AAPL,"August 4, 2008",21.88999939
AAPL,"August 5, 2008",22.94857216
AAPL,"August 6, 2008",23.45571518
AAPL,"August 7, 2008",23.36714363
AAPL,"August 8, 2008",24.22142792
AAPL,"August 11, 2008",24.79428482
AAPL,"August 12, 2008",25.24714279
AAPL,"August 13, 2008",25.61428642
AAPL,"August 14, 2008",25.61714363
AAPL,"August 15, 2008",25.1057148
AAPL,"August 18, 2008",25.05571365
AAPL,"August 19, 2008",24.79000092
AAPL,"August 20, 2008",25.12000084
AAPL,"August 21, 2008",24.89857101
AAPL,"August 22, 2008",25.25571442
AAPL,"August 25, 2008",24.64999962
AAPL,"August 26, 2008",24.80571365
AAPL,"August 27, 2008",24.95285797
AAPL,"August 28, 2008",24.81999969
AAPL,"August 29, 2008",24.21857071
AAPL,"September 2, 2008",23.74142838
AAPL,"September 3, 2008",23.85142899
AAPL,"September 4, 2008",23.03142929
AAPL,"September 5, 2008",22.88285637
AAPL,"September 8, 2008",22.55999947
AAPL,"September 9, 2008",21.66857147
AAPL,"September 10, 2008",21.65857124
AAPL,"September 11, 2008",21.80714226
AAPL,"September 12, 2008",21.27714348
AAPL,"September 15, 2008",20.05142784
AAPL,"September 16, 2008",19.98285675
AAPL,"September 17, 2008",18.26142883
AAPL,"September 18, 2008",19.15571404
AAPL,"September 19, 2008",20.12999916
AAPL,"September 22, 2008",18.72142792
AAPL,"September 23, 2008",18.12000084
AAPL,"September 24, 2008",18.38714218
AAPL,"September 25, 2008",18.84714317
AAPL,"September 26, 2008",18.31999969
AAPL,"September 29, 2008",15.03714275
AAPL,"September 30, 2008",16.23714256
AAPL,"October 1, 2008",15.58857155
AAPL,"October 2, 2008",14.30000019
AAPL,"October 3, 2008",13.86714268
AAPL,"October 6, 2008",14.02000046
AAPL,"October 7, 2008",12.73714256
AAPL,"October 8, 2008",12.82714272
AAPL,"October 9, 2008",12.6771431
AAPL,"October 10, 2008",13.82857132
AAPL,"October 13, 2008",15.7514286
AAPL,"October 14, 2008",14.86857128
AAPL,"October 15, 2008",13.99285698
AAPL,"October 16, 2008",14.55571461
AAPL,"October 17, 2008",13.91428566
AAPL,"October 20, 2008",14.06285667
AAPL,"October 21, 2008",13.06999969
AAPL,"October 22, 2008",13.83857155
AAPL,"October 23, 2008",14.03285694
AAPL,"October 24, 2008",13.76857185
AAPL,"October 27, 2008",13.15571404
AAPL,"October 28, 2008",14.27285671
AAPL,"October 29, 2008",14.93571472
AAPL,"October 30, 2008",15.86285686
AAPL,"October 31, 2008",15.36999989
AAPL,"November 3, 2008",15.27999973
AAPL,"November 4, 2008",15.85571384
AAPL,"November 5, 2008",14.75714302
AAPL,"November 6, 2008",14.15714264
AAPL,"November 7, 2008",14.03428555
AAPL,"November 10, 2008",13.6971426
AAPL,"November 11, 2008",13.53857136
AAPL,"November 12, 2008",12.8742857
AAPL,"November 13, 2008",13.77714252
AAPL,"November 14, 2008",12.89142895
AAPL,"November 17, 2008",12.59142876
AAPL,"November 18, 2008",12.84428596
AAPL,"November 19, 2008",12.32714272
AAPL,"November 20, 2008",11.4985714
AAPL,"November 21, 2008",11.79714298
AAPL,"November 24, 2008",13.27857113
AAPL,"November 25, 2008",12.97142887
AAPL,"November 26, 2008",13.5714283
AAPL,"November 28, 2008",13.23857117
AAPL,"December 1, 2008",12.70428562
AAPL,"December 2, 2008",13.21000004
AAPL,"December 3, 2008",13.69999981
AAPL,"December 4, 2008",13.05857182
AAPL,"December 5, 2008",13.4285717
AAPL,"December 8, 2008",14.24571419
AAPL,"December 9, 2008",14.29428577
AAPL,"December 10, 2008",14.02999973
AAPL,"December 11, 2008",13.5714283
AAPL,"December 12, 2008",14.03857136
AAPL,"December 15, 2008",13.53571415
AAPL,"December 16, 2008",13.63285732
AAPL,"December 17, 2008",12.73714256
AAPL,"December 18, 2008",12.77571392
AAPL,"December 19, 2008",12.85714245
AAPL,"December 22, 2008",12.2485714
AAPL,"December 23, 2008",12.34000015
AAPL,"December 24, 2008",12.14857101
AAPL,"December 26, 2008",12.25857162
AAPL,"December 29, 2008",12.37285709
AAPL,"December 30, 2008",12.32714272
AAPL,"December 31, 2008",12.19285679
AAPL,"January 2, 2009",12.96428585
AAPL,"January 5, 2009",13.51142883
AAPL,"January 6, 2009",13.28857136
AAPL,"January 7, 2009",13.0014286
AAPL,"January 8, 2009",13.24285698
AAPL,"January 9, 2009",12.93999958
AAPL,"January 12, 2009",12.66571426
AAPL,"January 13, 2009",12.52999973
AAPL,"January 14, 2009",12.18999958
AAPL,"January 15, 2009",11.91142845
AAPL,"January 16, 2009",11.76142883
AAPL,"January 20, 2009",11.17142868
AAPL,"January 21, 2009",11.83285713
AAPL,"January 22, 2009",12.62285709
AAPL,"January 23, 2009",12.62285709
AAPL,"January 26, 2009",12.80571461
AAPL,"January 27, 2009",12.96142864
AAPL,"January 28, 2009",13.45714283
AAPL,"January 29, 2009",13.28571415
AAPL,"January 30, 2009",12.8757143
AAPL,"February 2, 2009",13.0728569
AAPL,"February 3, 2009",13.28285694
AAPL,"February 4, 2009",13.36428547
AAPL,"February 5, 2009",13.77999973
AAPL,"February 6, 2009",14.24571419
AAPL,"February 9, 2009",14.64428616
AAPL,"February 10, 2009",13.97571468
AAPL,"February 11, 2009",13.83142853
AAPL,"February 12, 2009",14.18142891
AAPL,"February 13, 2009",14.16571426
AAPL,"February 17, 2009",13.50428581
AAPL,"February 18, 2009",13.48142815
AAPL,"February 19, 2009",12.94857121
AAPL,"February 20, 2009",13.02857113
AAPL,"February 23, 2009",12.42142868
AAPL,"February 24, 2009",12.89285755
AAPL,"February 25, 2009",13.02285671
AAPL,"February 26, 2009",12.74142838
AAPL,"February 27, 2009",12.75857162
AAPL,"March 2, 2009",12.56285667
AAPL,"March 3, 2009",12.6242857
AAPL,"March 4, 2009",13.02428532
AAPL,"March 5, 2009",12.69142818
AAPL,"March 6, 2009",12.18571472
AAPL,"March 9, 2009",11.87285709
AAPL,"March 10, 2009",12.66142845
AAPL,"March 11, 2009",13.23999977
AAPL,"March 12, 2009",13.76428604
AAPL,"March 13, 2009",13.70428562
AAPL,"March 16, 2009",13.63142872
AAPL,"March 17, 2009",14.23714256
AAPL,"March 18, 2009",14.50285721
AAPL,"March 19, 2009",14.51714325
AAPL,"March 20, 2009",14.51285744
AAPL,"March 23, 2009",15.38000011
AAPL,"March 24, 2009",15.21428585
AAPL,"March 25, 2009",15.21285725
AAPL,"March 26, 2009",15.695714
AAPL,"March 27, 2009",15.26428604
AAPL,"March 30, 2009",14.9271431
AAPL,"March 31, 2009",15.01714325
AAPL,"April 1, 2009",15.52714252
AAPL,"April 2, 2009",16.10142899
AAPL,"April 3, 2009",16.56999969
AAPL,"April 6, 2009",16.92142868
AAPL,"April 7, 2009",16.4285717
AAPL,"April 8, 2009",16.61714363
AAPL,"April 9, 2009",17.08142853
AAPL,"April 13, 2009",17.17428589
AAPL,"April 14, 2009",16.90142822
AAPL,"April 15, 2009",16.80571365
AAPL,"April 16, 2009",17.35000038
AAPL,"April 17, 2009",17.63142776
AAPL,"April 20, 2009",17.2142849
AAPL,"April 21, 2009",17.3942852
AAPL,"April 22, 2009",17.35857201
AAPL,"April 23, 2009",17.91428566
AAPL,"April 24, 2009",17.70000076
AAPL,"April 27, 2009",17.81857109
AAPL,"April 28, 2009",17.70000076
AAPL,"April 29, 2009",17.87714195
AAPL,"April 30, 2009",17.97571373
AAPL,"May 1, 2009",18.1771431
AAPL,"May 4, 2009",18.86714363
AAPL,"May 5, 2009",18.95857048
AAPL,"May 6, 2009",18.9285717
AAPL,"May 7, 2009",18.43714333
AAPL,"May 8, 2009",18.45571518
AAPL,"May 11, 2009",18.51000023
AAPL,"May 12, 2009",17.77428627
AAPL,"May 13, 2009",17.06999969
AAPL,"May 14, 2009",17.56428528
AAPL,"May 15, 2009",17.48857117
AAPL,"May 18, 2009",18.09285736
AAPL,"May 19, 2009",18.20714378
AAPL,"May 20, 2009",17.98142815
AAPL,"May 21, 2009",17.73999977
AAPL,"May 22, 2009",17.5
AAPL,"May 26, 2009",18.68285751
AAPL,"May 27, 2009",19.00714302
AAPL,"May 28, 2009",19.29571342
AAPL,"May 29, 2009",19.40142822
AAPL,"June 1, 2009",19.90714264
AAPL,"June 2, 2009",19.9271431
AAPL,"June 3, 2009",20.13571358
AAPL,"June 4, 2009",20.5342865
AAPL,"June 5, 2009",20.66714287
AAPL,"June 8, 2009",20.54999924
AAPL,"June 9, 2009",20.38857079
AAPL,"June 10, 2009",20.0357151
AAPL,"June 11, 2009",19.99285698
AAPL,"June 12, 2009",19.56714249
AAPL,"June 15, 2009",19.44142914
AAPL,"June 16, 2009",19.47857094
AAPL,"June 17, 2009",19.36857224
AAPL,"June 18, 2009",19.41142845
AAPL,"June 19, 2009",19.92571449
AAPL,"June 22, 2009",19.62428665
AAPL,"June 23, 2009",19.1442852
AAPL,"June 24, 2009",19.45999908
AAPL,"June 25, 2009",19.97999954
AAPL,"June 26, 2009",20.34857178
AAPL,"June 29, 2009",20.28142929
AAPL,"June 30, 2009",20.34714317
AAPL,"July 1, 2009",20.40428543
AAPL,"July 2, 2009",20.00285721
AAPL,"July 6, 2009",19.80142784
AAPL,"July 7, 2009",19.34285736
AAPL,"July 8, 2009",19.60285759
AAPL,"July 9, 2009",19.47999954
AAPL,"July 10, 2009",19.78857231
AAPL,"July 13, 2009",20.33428574
AAPL,"July 14, 2009",20.32428551
AAPL,"July 15, 2009",20.98285675
AAPL,"July 16, 2009",21.07428551
